Asset Name,Description,Asset Type,Pillar,Note,Link,Campaign/Project,Channel,Created Date,Files,Last Updated,Owner,Status,Tags
ID Image Gradient EMI2511,Brand Gradients in Teal theme,Image,Surgical Teal,,https://drive.google.com/drive/folders/10GltUJouAGczVZIMpkAfb-aICFxuMW9w,UK Distributor Pack,,12 November 2025,EMERY%20Brand%20Assets/EMI-ID_GRAD__Emery-wesley-cssd-teal.jpg,12 November 2025,,,
"Guarantee: Ocura vs Emery Quick Analysis EMI2511 ",Ocura vs Emery Quick Analysis,Strategy,Team,,https://docs.google.com/document/d/1I5boyrzO-SCN0oRlvcdBYT88HI9GvnUy3BMABdMUyks/edit?usp=sharing,,,,,,,,
OP Guarentee Emery 10 Year Workman EMI2511,"Original Guarantee nudged for buyers ",Operations,Team,LG - Check Aus Made US positioning,https://docs.google.com/document/d/1oW-W_xZ0L7q76flO1JxhSLWImnmy1xLYleyOMUV3erg/edit?usp=sharing,,,12 November 2025,EMERY%20Brand%20Assets/Guarentee_10_Year_Workman_EMI2511v1.0.jpg,13 November 2025,,In Review,Compliance
AI Prompts Context Engineering Project Management Workflows,,Prompts,Project Management,,https://drive.google.com/drive/folders/1IPL4OnxiAjHmLCxIloLsydu2LsHbsYwg?usp=drive_link,,,,,,,,
Case Study Wesley EMI2511,Single Page [Test Template],Social Proof,Surgical Teal,"LG Review Tag -Confidence Built In. Quality That Lasts.
Australian. Distributor tested. Backed for a decade.",https://drive.google.com/drive/folders/109Chgh5fvAtaLvpbg95JD3a7qkUdMs8B?usp=drive_link,"Case Studies, UK Distributor Pack",,12 November 2025,EMERY%20Brand%20Assets/EMI_Case_Study_Wesley_CR2510v2.jpg,13 November 2025,,,
Brand Architecture WIP Stylescapes EMI2511,Big Picture Visual Development,Strategy,"Emery Industries, Team",,,Brand Architecture,,13 November 2025,,13 November 2025,,WIP,
ID Brand Fonts,"Archivo Narrow, Inter",Identity,Emery Industries,,,,,,,,,,
"Report Emery Industries Case Study Analysis ",Objective: Map case studies to target personas with psychographic insights and messaging recommendations,Strategy,"Emery Industries, Team",LG md created - add to KB,,,,,,,,,
"Brochure Transport Trolley & Case Carts [UK] EMI ",,Brochure,Product,,,UK Distributor Pack,,9 November 2025,,12 November 2025,,,
Persona #1 Strategic Partner,Distributor,Strategy,Emery Industries,,,,,,,,,,
Persona #2 Project Orchestrator,Architectural & Construction Project Manager,Strategy,Emery Industries,,,,,,,,,,
Persona #3 Strategic Procurer,Hospital & Health Authority Decision Maker,Strategy,Emery Industries,,,,,,,,,,
Emery Image Library EMI2511,All Images for Project,,,,,,,,,,,,
IMG Product Casecart & Trolleys Adjust,Adjusting Cad images for consistancy,Image,"Education, Emery Industries",,https://drive.google.com/drive/folders/1oE8d1YqWW1wZnpmS4LWKDTEwXMgG-34C?usp=drive_link,"Products, UK Distributor Pack","Partner Portal, Website",18 November 2025,https://drive.google.com/drive/folders/1aKaBc8Raaluv0M7OQxk7er93RFWn0mqX?usp=drive_link,,,Published,
Case Study AI GPT Stella Steel,Custom Ai Bot for Emery Case Studies,AI GPT,,,https://chatgpt.com/g/g-691a51becb5c8191a8763f7d2974e21e-stella-steel,Case Studies,Internal,15 November 2025,,19 November 2025,,,
IMAGE Mock Up Covers for Brochures,Standardised mockup files for brochures,"Image, Template","Creative, Marketing","Output: full sized jpg for marketing assets, WEB Keep all images max 160K output at 1080px Wide approx 75% quality",https://drive.google.com/drive/folders/1eZ0RxBT422LbSmFw8GI-4k7rVb4L6NPO?usp=drive_link,,,,,,,,
IMG Product Transport Trolley & Case Carts EMI2511,Final Output Mockups for marketing,,"Creative, Marketing, Product, Surgical Teal",Name should always include product and emery plus SEO relevant keyword,https://drive.google.com/drive/folders/1JsSyWsX-wDAuv9OhPXq5Bl2LbJh40L65?usp=drive_link,,,,,,,,
ID Mock Up Trolley Logo,Identity Mock Up Files,"Identity, Image, Template","Creative, Marketing",,,,,,,,,,
IMG Wesley Hospital Adj,,"Identity, Image","Creative, Marketing",,https://drive.google.com/drive/folders/1r_xzEqe_3Vwj7ArhAqz_E0-cBzjfYu_o?usp=drive_link,,,,,,,,
Case Study Royal Victoria,"Case Study End User Focused ",Social Proof,"Creative, Marketing, Surgical Teal",Create Single 1-2 Page overview and full blog post. Add link to full post on the single file via QR code or link,https://drive.google.com/drive/folders/1Y4bUFr5Xn_-1dIkSYBpufBbUuR7SDzrG?usp=drive_link,Case Studies,,,,,"Odette Bettany, Helena Emery",To Do,"Case Cart, Case Study, Website"
Case Study Blog Header Image,"Use Gradient image for all headers. Colourise by category eg teal for surgical, Navy  ",Image,"Creative, Marketing, Website","Copy for mock up purposes only ",,,,,,,,,
"Brand Stylescape Product Line Surgical - Teal ",Overview of Products Brand Assets Surgical ONLY,Identity,"Creative, Marketing, Website",NOTE TEAL ONLY FOR CSD Range,https://drive.google.com/drive/folders/1FqqZecCbpRBS0BAbBPWFq-fW_TFkxYon?usp=drive_link,"Brand Architecture, Case Studies, Products, UK Distributor Pack",,19 November 2025,,,"Helena Emery, Odette Bettany",Done,
EMI Social Media Ideas,Ideas for post,Social Media,"Creative, Marketing",,https://new.express.adobe.com/id/urn:aaid:sc:AP:b3b2df5c-adf2-4e3b-b474-2baed978f406?invite=true&accept=true%3Fpreload%3Dsharesheet&promoid=Z2G1FQKR&mv=other,,,21 November 2025,,,"Helena Emery, Odette Bettany",,