Asset Name,Asset Type,Campaign/Project,Channel,Created Date,Description,Files,Last Updated,Link,Note,Owner,Pillar,Status,Tags
ID Image Gradient EMI2511,Image,UK Distributor Pack,,12 November 2025,Brand Gradients in Teal theme,EMERY%20Brand%20Assets/EMI-ID_GRAD__Emery-wesley-cssd-teal.jpg,12 November 2025,https://drive.google.com/drive/folders/10GltUJouAGczVZIMpkAfb-aICFxuMW9w,,,Surgical Teal,,
"Guarantee: Ocura vs Emery Quick Analysis EMI2511 ",Strategy,,,,Ocura vs Emery Quick Analysis,,,https://docs.google.com/document/d/1I5boyrzO-SCN0oRlvcdBYT88HI9GvnUy3BMABdMUyks/edit?usp=sharing,,,Team,,
OP Guarentee Emery 10 Year Workman EMI2511,Operations,,,12 November 2025,"Original Guarantee nudged for buyers ",EMERY%20Brand%20Assets/Guarentee_10_Year_Workman_EMI2511v1.0.jpg,13 November 2025,https://docs.google.com/document/d/1oW-W_xZ0L7q76flO1JxhSLWImnmy1xLYleyOMUV3erg/edit?usp=sharing,LG - Check Aus Made US positioning,,Team,In Review,Compliance
AI Prompts Context Engineering Project Management Workflows,Prompts,,,,,,,https://drive.google.com/drive/folders/1IPL4OnxiAjHmLCxIloLsydu2LsHbsYwg?usp=drive_link,,,Project Management,,
Case Study Wesley EMI2511,Social Proof,"Case Studies, UK Distributor Pack",,12 November 2025,Single Page [Test Template],EMERY%20Brand%20Assets/EMI_Case_Study_Wesley_CR2510v2.jpg,13 November 2025,https://drive.google.com/drive/folders/109Chgh5fvAtaLvpbg95JD3a7qkUdMs8B?usp=drive_link,"LG Review Tag -Confidence Built In. Quality That Lasts.
Australian. Distributor tested. Backed for a decade.",,Surgical Teal,,
Brand Architecture WIP Stylescapes EMI2511,Strategy,Brand Architecture,,13 November 2025,Big Picture Visual Development,,13 November 2025,,,,"Emery Industries, Team",WIP,
ID Brand Fonts,Identity,,,,"Archivo Narrow, Inter",,,,,,Emery Industries,,
"Report Emery Industries Case Study Analysis ",Strategy,,,,Objective: Map case studies to target personas with psychographic insights and messaging recommendations,,,,LG md created - add to KB,,"Emery Industries, Team",,
"Brochure Transport Trolley & Case Carts [UK] EMI ",Brochure,UK Distributor Pack,,9 November 2025,,,12 November 2025,,,,Product,,
Persona #1 Strategic Partner,Strategy,,,,Distributor,,,,,,Emery Industries,,
Persona #2 Project Orchestrator,Strategy,,,,Architectural & Construction Project Manager,,,,,,Emery Industries,,
Persona #3 Strategic Procurer,Strategy,,,,Hospital & Health Authority Decision Maker,,,,,,Emery Industries,,
Emery Image Library EMI2511,,,,,All Images for Project,,,,,,,,
IMG Product Casecart & Trolleys Adjust,Image,"Products, UK Distributor Pack","Partner Portal, Website",18 November 2025,Adjusting Cad images for consistancy,https://drive.google.com/drive/folders/1aKaBc8Raaluv0M7OQxk7er93RFWn0mqX?usp=drive_link,,https://drive.google.com/drive/folders/1oE8d1YqWW1wZnpmS4LWKDTEwXMgG-34C?usp=drive_link,,,"Education, Emery Industries",Published,
Case Study AI GPT Stella Steel,AI GPT,Case Studies,Internal,15 November 2025,Custom Ai Bot for Emery Case Studies,,19 November 2025,https://chatgpt.com/g/g-691a51becb5c8191a8763f7d2974e21e-stella-steel,,,,,
IMAGE Mock Up Covers for Brochures,"Image, Template",,,,Standardised mockup files for brochures,,,https://drive.google.com/drive/folders/1eZ0RxBT422LbSmFw8GI-4k7rVb4L6NPO?usp=drive_link,"Output: full sized jpg for marketing assets, WEB Keep all images max 160K output at 1080px Wide approx 75% quality",,"Creative, Marketing",,
IMG Product Transport Trolley & Case Carts EMI2511,,,,,Final Output Mockups for marketing,,,https://drive.google.com/drive/folders/1JsSyWsX-wDAuv9OhPXq5Bl2LbJh40L65?usp=drive_link,Name should always include product and emery plus SEO relevant keyword,,"Creative, Marketing, Product, Surgical Teal",,
ID Mock Up Trolley Logo,"Identity, Image, Template",,,,Identity Mock Up Files,,,,,,"Creative, Marketing",,
IMG Wesley Hospital Adj,"Identity, Image",,,,,,,https://drive.google.com/drive/folders/1r_xzEqe_3Vwj7ArhAqz_E0-cBzjfYu_o?usp=drive_link,,,"Creative, Marketing",,
Case Study Royal Victoria,Social Proof,Case Studies,,,"Case Study End User Focused ",,,https://drive.google.com/drive/folders/1Y4bUFr5Xn_-1dIkSYBpufBbUuR7SDzrG?usp=drive_link,Create Single 1-2 Page overview and full blog post. Add link to full post on the single file via QR code or link,"Odette Bettany, Helena Emery","Creative, Marketing, Surgical Teal",To Do,"Case Cart, Case Study, Website"
Case Study Blog Header Image,Image,,,,"Use Gradient image for all headers. Colourise by category eg teal for surgical, Navy  ",,,,"Copy for mock up purposes only ",,"Creative, Marketing, Website",,
"Brand Stylescape Product Line Surgical - Teal ",Identity,"Brand Architecture, Case Studies, Products, UK Distributor Pack",,19 November 2025,Overview of Products Brand Assets Surgical ONLY,,,https://drive.google.com/drive/folders/1FqqZecCbpRBS0BAbBPWFq-fW_TFkxYon?usp=drive_link,NOTE TEAL ONLY FOR CSD Range,"Helena Emery, Odette Bettany","Creative, Marketing, Website",Done,
EMI Social Media Ideas,Social Media,,,21 November 2025,Ideas for post,,,https://new.express.adobe.com/id/urn:aaid:sc:AP:b3b2df5c-adf2-4e3b-b474-2baed978f406?invite=true&accept=true%3Fpreload%3Dsharesheet&promoid=Z2G1FQKR&mv=other,,"Helena Emery, Odette Bettany","Creative, Marketing",,